,train_loss,train_acc,test_loss,test_acc
0,4.051666259765625,0.10177238805970149,3.5978026390075684,0.19375
1,3.126842498779297,0.3247201492537314,3.2284369468688965,0.24375
2,2.6159286499023438,0.44556902985074626,3.0103392601013184,0.29624999999999996
3,2.2760438919067383,0.5169309701492537,2.892803907394409,0.31708333333333333
4,2.026794910430908,0.5728078358208955,2.801278829574585,0.3295833333333333
5,1.81454336643219,0.6260261194029851,2.732022523880005,0.33791666666666664
6,1.648890495300293,0.6598880597014926,2.693565845489502,0.3525
7,1.526577353477478,0.6861473880597014,2.6626088619232178,0.3420833333333333
8,1.4129518270492554,0.7160914179104477,2.6498711109161377,0.3608333333333333
9,1.3080470561981201,0.7374067164179104,2.618713855743408,0.36916666666666664
